    PID CMD
   1011 avahi-daemon: chroot helper
    843 avahi-daemon: running [osc.local]
   2808 bash
     20 [cpuhp/0]
     21 [cpuhp/1]
    848 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     56 [ecryptfs-kthread]
   1947 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1807 gdm-session-worker [pam/gdm-password]
   2714 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
     19 [idle_inject/0]
     22 [idle_inject/1]
    543 [irq/18-vmwgfx]
     44 [irq/9-acpi]
    287 [jbd2/dm-0-8]
    487 [jbd2/sda2-8]
     32 [kauditd]
     37 [kcompactd0]
     29 [kdevtmpfs]
     40 [khugepaged]
     33 [khungtaskd]
     38 [ksmd]
     16 [ksoftirqd/0]
     24 [ksoftirqd/1]
     55 [kswapd0]
      2 [kthreadd]
     10 [kworker/0:0H-kblockd]
   4264 [kworker/0:2-events]
    140 [kworker/0:2H-kblockd]
   4468 [kworker/0:3-cgroup_destroy]
     25 [kworker/1:0-events]
     26 [kworker/1:0H-events_highpri]
   4310 [kworker/1:1]
     54 [kworker/1:1H-kblockd]
     58 [kworker/R-acpi_]
     46 [kworker/R-ata_s]
     43 [kworker/R-blkcg]
     93 [kworker/R-charg]
    634 [kworker/R-crypt]
     50 [kworker/R-devfr]
     49 [kworker/R-edac-]
    288 [kworker/R-ext4-]
    488 [kworker/R-ext4-]
     30 [kworker/R-inet_]
     67 [kworker/R-ipv6_]
     42 [kworker/R-kbloc]
    243 [kworker/R-kdmfl]
     41 [kworker/R-kinte]
     76 [kworker/R-kstrp]
     57 [kworker/R-kthro]
     47 [kworker/R-md]
     48 [kworker/R-md_bi]
     66 [kworker/R-mld]
     12 [kworker/R-mm_pe]
      7 [kworker/R-netns]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
     62 [kworker/R-scsi_]
     64 [kworker/R-scsi_]
    142 [kworker/R-scsi_]
    144 [kworker/R-scsi_]
    146 [kworker/R-scsi_]
    148 [kworker/R-scsi_]
    150 [kworker/R-scsi_]
    152 [kworker/R-scsi_]
    154 [kworker/R-scsi_]
    156 [kworker/R-scsi_]
    158 [kworker/R-scsi_]
    160 [kworker/R-scsi_]
    162 [kworker/R-scsi_]
    174 [kworker/R-scsi_]
    176 [kworker/R-scsi_]
    178 [kworker/R-scsi_]
    180 [kworker/R-scsi_]
    182 [kworker/R-scsi_]
    184 [kworker/R-scsi_]
    186 [kworker/R-scsi_]
    188 [kworker/R-scsi_]
    190 [kworker/R-scsi_]
    192 [kworker/R-scsi_]
    194 [kworker/R-scsi_]
    196 [kworker/R-scsi_]
    198 [kworker/R-scsi_]
    200 [kworker/R-scsi_]
    202 [kworker/R-scsi_]
    204 [kworker/R-scsi_]
    206 [kworker/R-scsi_]
    208 [kworker/R-scsi_]
    210 [kworker/R-scsi_]
      6 [kworker/R-slub_]
     45 [kworker/R-tpm_d]
    547 [kworker/R-ttm]
     36 [kworker/R-write]
     11 [kworker/u4:0-ext4-rsv-conversion]
    390 [kworker/u4:1]
    234 [kworker/u5:26-events_power_efficient]
    235 [kworker/u5:27-events_unbound]
    237 [kworker/u5:29-events_power_efficient]
   4523 [kworker/u6:0-events_power_efficient]
     52 [kworker/u6:1-events_power_efficient]
     60 [kworker/u6:3-events_power_efficient]
     65 [kworker/u6:4-events_unbound]
     78 [kworker/u7:0]
     79 [kworker/u8:0-ttm]
   1757 [kworker/u8:1-ttm]
     80 [kworker/u9:0]
     18 [migration/0]
     23 [migration/1]
     34 [oom_reaper]
      3 [pool_workqueue_release]
   4532 ps -e --sort=cmd -o pid,cmd
    432 [psimon]
   4260 [psimon]
     17 [rcu_preempt]
     13 [rcu_tasks_kthread]
     14 [rcu_tasks_rude_kthread]
     15 [rcu_tasks_trace_kthread]
      1 /sbin/init splash
     61 [scsi_eh_0]
     63 [scsi_eh_1]
    157 [scsi_eh_10]
    159 [scsi_eh_11]
    161 [scsi_eh_12]
    173 [scsi_eh_13]
    175 [scsi_eh_14]
    177 [scsi_eh_15]
    179 [scsi_eh_16]
    181 [scsi_eh_17]
    183 [scsi_eh_18]
    185 [scsi_eh_19]
    141 [scsi_eh_2]
    187 [scsi_eh_20]
    189 [scsi_eh_21]
    191 [scsi_eh_22]
    193 [scsi_eh_23]
    195 [scsi_eh_24]
    197 [scsi_eh_25]
    199 [scsi_eh_26]
    201 [scsi_eh_27]
    203 [scsi_eh_28]
    205 [scsi_eh_29]
    143 [scsi_eh_3]
    207 [scsi_eh_30]
    209 [scsi_eh_31]
    145 [scsi_eh_4]
    147 [scsi_eh_5]
    149 [scsi_eh_6]
    151 [scsi_eh_7]
    153 [scsi_eh_8]
    155 [scsi_eh_9]
   1825 (sd-pam)
   2787 /snap/firefox/4173/usr/lib/firefox/firefox
   2944 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 28498 -prefMapSize 241446 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {4e3444c4-7319-4d4e-ad42-adac3a7d859c} 2787 true tab
   3141 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 34106 -prefMapSize 241446 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {dc04707e-2e26-4e76-8ff1-d7faf3ff8c78} 2787 true tab
   3485 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 30918 -prefMapSize 241446 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {b74afcb9-8dcb-4bfa-ad17-bc255b04ab85} 2787 true tab
   3494 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 30918 -prefMapSize 241446 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {f01c14f3-def0-4a6c-9472-b2ac8dadec35} 2787 true tab
